arrestee_id,incident_id,arrestee_seq_num,arrest_num,arrest_date,arrest_type_id,multiple_indicator,offense_type_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,ff_line_number,age_range_low_num,age_range_high_num
24410724,84298842,1,16-7-AR,2016-01-26 00:00:00,2,N,53,5,17,M,1,2,R,R,,,17,0
24895442,85694432,1,16-56-AR,2016-05-05 00:00:00,3,N,27,5,41,F,1,2,N,,,,41,0
24409793,84298954,1,16-16-AR,2016-02-03 00:00:00,1,N,6,5,22,F,1,2,N,,,,22,0
24409760,84298865,1,16-25-AR,2016-02-20 00:00:00,2,N,51,5,53,M,1,2,R,,,,53,0
24409761,84298865,2,16-26-AR,2016-02-20 00:00:00,2,N,51,5,17,M,1,2,R,R,,,17,0
24410750,84298218,1,16-22-AR,2016-02-16 00:00:00,1,N,51,5,71,F,1,2,R,,,,71,0
24409865,84299140,1,16-29-AR,2016-03-10 00:00:00,1,N,51,5,17,M,2,2,R,R,,,17,0
24549953,84698846,1,16-48-AR,2016-04-22 00:00:00,2,N,16,5,19,M,1,2,R,,,,19,0
24550616,84698861,1,16-43-AR,2016-04-11 00:00:00,2,N,16,5,24,M,1,2,N,,,,24,0
24550618,84698867,1,16-40-AR,2016-04-03 00:00:00,2,N,51,5,17,M,1,2,R,R,,,17,0
24896178,85694740,1,16-58-AR,2016-05-07 00:00:00,3,N,49,5,24,M,1,2,N,,,,24,0
24896179,85694740,2,16-62-AR,2016-05-17 00:00:00,3,N,49,5,22,M,1,2,N,,,,22,0
25319540,87036617,1,16-50-AR,2016-05-04 00:00:00,3,N,20,5,15,M,1,2,R,R,,,15,0
25319541,87036617,2,16-51-AR,2016-05-01 00:00:00,3,N,20,5,15,M,1,2,R,R,,,15,0
24895525,85694815,1,16-55-AR,2016-05-04 00:00:00,1,N,51,5,38,F,1,1,R,,,,38,0
24896183,85695553,1,16-53-AR,2016-05-02 00:00:00,3,N,51,5,21,M,1,2,R,,,,21,0
24895498,85694759,1,16-54-AR,2016-05-03 00:00:00,3,N,51,5,48,M,1,2,R,,,,48,0
24895522,85694812,1,16-65-AR,2016-05-20 00:00:00,2,N,16,5,19,M,1,2,N,,,,19,0
24896148,85694464,2,16-64-AR,2016-05-19 00:00:00,2,N,44,5,16,M,1,2,R,R,,,16,0
24896146,85694464,1,16-63-AR,2016-05-19 00:00:00,2,N,44,5,17,M,1,2,R,R,,,17,0
27096957,92504374,1,17-42-AR,2017-04-06 00:00:00,3,N,45,5,29,M,1,2,N,,,,29,0
25318539,87035985,1,16-72-AR,2016-06-19 00:00:00,1,N,51,5,45,F,1,2,N,,,,45,0
25319574,87036720,1,16-73-AR,2016-06-22 00:00:00,2,N,16,5,27,M,1,1,N,,,,27,0
25318566,87036828,1,16-83-AR,2016-07-17 00:00:00,1,N,14,5,31,F,1,2,N,,,,31,0
25319615,87036832,1,16-81-AR,2016-07-13 00:00:00,1,N,44,5,45,F,1,2,N,,,,45,0
25318568,87036830,1,16-87-AR,2016-07-24 00:00:00,1,N,16,5,39,M,2,2,N,,,,39,0
25318594,87036927,1,16-93-AR,2016-08-04 00:00:00,1,N,48,5,24,F,1,2,N,,,,24,0
25318576,87036111,1,16-116-AR,2016-08-26 00:00:00,3,N,27,5,52,M,1,2,R,,,,52,0
25319623,87036104,1,16-119-AR,2016-08-30 00:00:00,3,N,23,5,28,F,1,2,N,,,,28,0
25318585,87036901,1,16-117-AR,2016-08-27 00:00:00,1,N,27,5,43,M,1,2,R,,,,43,0
25318590,87036917,1,16-96-AR,2016-08-07 00:00:00,1,N,44,5,32,M,1,2,R,,,,32,0
25319659,87036211,1,16-125-AR,2016-09-08 00:00:00,1,N,44,5,29,F,1,2,N,,,,29,0
25318602,87036215,1,16-123-AR,2016-09-05 00:00:00,1,N,44,5,15,M,1,2,N,R,,,15,0
25828634,88667703,1,16-135-AR,2016-10-16 00:00:00,1,N,51,5,59,M,1,2,N,,,,59,0
25828635,88666726,1,16-137-AR,2016-10-19 00:00:00,1,N,51,5,15,M,2,2,N,R,,,15,0
25828638,88667711,1,16-131-AR,2016-10-02 00:00:00,1,N,51,5,32,M,1,2,R,,,,32,0
25828630,88666718,1,16-138-AR,2016-10-20 00:00:00,1,N,51,5,54,F,1,2,R,,,,54,0
26050781,89352302,1,16-148-AR,2016-12-03 00:00:00,3,N,44,5,41,M,1,3,N,,,,41,0
25827836,88667812,1,16-144-AR,2016-11-16 00:00:00,2,N,51,5,33,F,2,2,R,,,,33,0
25828661,88666792,1,16-147-AR,2016-11-29 00:00:00,1,N,14,5,25,M,1,2,R,,,,25,0
25828646,88667732,2,16-142-AR,2016-11-15 00:00:00,2,N,51,5,30,F,2,2,R,,,,30,0
25828644,88667732,1,16-143-AR,2016-11-15 00:00:00,3,N,51,5,33,F,2,2,R,,,,33,0
26050762,89352244,1,16-153-AR,2016-12-15 00:00:00,3,N,44,5,44,M,1,2,R,,,,44,0
26050184,89352187,2,16-155-AR,2016-12-22 00:00:00,3,N,35,5,28,F,1,2,N,,,,28,0
26050183,89352187,1,16-154-AR,2016-12-22 00:00:00,3,N,16,5,27,F,1,2,N,,,,27,0
26524670,90771848,1,17-3-AR,2017-01-10 00:00:00,3,N,49,5,20,M,1,2,N,,,,20,0
24288612,83948147,1,16-2839-1,2016-01-30 00:00:00,2,N,35,5,26,M,1,1,N,,,,26,0
24288614,83948918,1,16-2838-1,2016-01-30 00:00:00,2,N,35,5,25,M,2,2,N,,,,25,0
24289624,83948160,1,16-2185-1,2016-01-23 00:00:00,1,N,51,5,39,M,1,3,U,,,,39,0
24289551,83948185,1,16-816-1,2016-01-09 00:00:00,1,N,16,5,20,M,1,3,R,,,,20,0
24416523,84316360,1,16-611-1,2016-02-03 00:00:00,3,N,39,5,44,M,1,2,R,,,,44,0
24288615,83948152,3,16-2456-3,2016-01-26 00:00:00,2,N,16,5,16,M,2,3,N,R,,,16,0
24288613,83948152,2,16-2456-2,2016-01-26 00:00:00,2,N,16,5,17,M,1,3,N,R,,,17,0
24289616,83948152,4,16-2456-4,2016-01-26 00:00:00,2,N,16,5,17,M,1,3,N,R,,,17,0
24416775,84317236,1,16-3735-1,2016-03-09 00:00:00,3,N,47,5,21,M,1,2,R,,,,21,0
24416779,84317259,1,7644139,2016-02-18 00:00:00,1,N,27,5,44,F,1,2,R,,,,44,0
24416517,84317275,1,16-4765-1,2016-03-09 00:00:00,3,N,41,5,21,M,1,2,R,,,,21,0
24416510,84317256,1,16-4490-1,2016-02-18 00:00:00,1,N,51,5,58,M,1,2,R,,,,58,0
25478582,87514901,2,764245,2016-10-07 00:00:00,3,N,49,5,44,M,1,2,N,,,,44,0
25478580,87514901,1,16-3306-1,2016-10-10 00:00:00,3,N,49,5,35,M,1,3,N,,,,35,0
24416774,84317218,1,16-3591-1,2016-03-08 00:00:00,3,N,2,5,45,M,1,2,R,,,,45,0
24897466,85699297,1,16-4557-1,2016-02-20 00:00:00,3,N,51,5,59,M,1,2,R,,,,59,0
24416528,84317310,1,16-5927-1,2016-03-06 00:00:00,1,N,16,5,25,M,1,2,R,,,,25,0
24416534,84317342,1,16-7196-1,2016-03-27 00:00:00,3,N,51,5,53,F,1,2,N,,,,53,0
24416802,84316415,1,16-6763-1,2016-04-27 00:00:00,3,N,23,5,29,M,1,2,R,,,,29,0
24416803,84316415,2,16-6763-2,2016-05-06 00:00:00,3,N,23,5,27,F,1,2,N,,,,27,0
24416541,84316447,1,16-8125-1,2016-03-31 00:00:00,1,N,16,5,21,M,1,2,R,,,,21,0
24416797,84316408,1,16-6752-1,2016-03-15 00:00:00,1,N,16,5,23,M,1,2,N,,,,23,0
24416810,84316438,1,16-7829-1,2016-03-29 00:00:00,3,N,44,5,34,M,1,2,N,,,,34,0
24416795,84316378,1,7644146,2016-03-08 00:00:00,1,N,51,5,23,M,1,2,R,,,,23,0
24416793,84316372,1,7644144,2016-03-07 00:00:00,1,N,39,5,18,M,1,2,R,,,,18,0
24703492,85144060,1,16-6289-1,2016-07-18 00:00:00,3,N,46,5,79,M,1,2,R,,,,79,0
25167484,86544277,2,16-6545,2016-08-04 00:00:00,3,N,27,5,18,M,1,2,N,,,,18,0
24416565,84317444,1,7644160,2016-04-11 00:00:00,1,N,44,5,34,M,1,2,R,,,,34,0
24416550,84317396,1,16-10863-1,2016-04-30 00:00:00,1,N,35,5,29,M,1,2,N,,,,29,0
24416558,84316489,1,7644171,2016-05-04 00:00:00,3,N,16,5,28,F,1,2,R,,,,28,0
24416836,84317520,2,16-9551-2,2016-04-16 00:00:00,2,N,51,5,17,M,1,2,N,R,,,17,0
24703466,85143969,1,16-8891-1,2016-05-19 00:00:00,3,N,11,5,34,M,1,2,N,,,,34,0
26050000,89351606,1,16-8355-1,2016-06-15 00:00:00,3,N,45,5,35,F,1,2,R,,,,35,0
24704484,85143046,1,7644183,2016-05-21 00:00:00,1,N,44,5,32,M,1,2,R,,,,32,0
24703449,85143934,1,16-12816-1,2016-05-20 00:00:00,1,N,44,5,35,M,1,2,R,,,,35,0
24703422,85143847,1,16-11530-1,2016-05-07 00:00:00,1,N,23,5,26,M,1,2,N,,,,26,0
24704495,85143089,1,16-13890-1,2016-05-31 00:00:00,3,N,39,5,32,M,1,2,R,,,,32,0
24703454,85143055,1,16-13082-1,2016-05-23 00:00:00,1,N,39,5,35,M,1,2,N,,,,35,0
24704513,85143126,1,7644190,2016-06-06 00:00:00,3,N,5,5,33,F,1,2,N,,,,33,0
24703473,85143124,1,16-11163-1,2016-06-23 00:00:00,3,N,47,5,45,M,1,2,R,,,,45,0
24703441,85143014,1,7644178,2016-05-15 00:00:00,1,N,7,5,30,M,1,2,N,,,,30,0
24703456,85143062,1,7644186,2016-05-24 00:00:00,1,N,51,5,21,M,1,2,R,,,,21,0
24704459,85143876,1,7644174,2016-05-10 00:00:00,1,N,51,5,50,F,1,2,R,,,,50,0
24704474,85143028,1,16-12530-1,2016-05-23 00:00:00,3,N,51,5,29,M,1,2,N,,,,29,0
24703420,85142957,1,7644172,2016-05-05 00:00:00,1,N,49,5,28,M,1,2,R,,,,28,0
24704470,85143899,1,16-12210-1,2016-05-14 00:00:00,1,N,16,5,30,M,1,2,N,,,,30,0
24703435,85142994,1,16-12201-1,2016-05-14 00:00:00,1,N,44,5,48,M,1,3,R,,,,48,0
24704486,85143054,1,7644182,2016-05-21 00:00:00,1,N,16,5,45,M,1,2,N,,,,45,0
24704521,85143153,1,7644192,2016-06-10 00:00:00,3,N,51,5,24,M,1,2,R,,,,24,0
24897442,85700107,1,7644191,2016-06-10 00:00:00,1,N,51,5,53,M,1,2,R,,,,53,0
24898271,85699218,1,16-14101-1,2016-07-28 00:00:00,3,N,37,5,29,M,1,2,R,,,,29,0
24897456,85700133,1,16-18464-1,2016-07-27 00:00:00,3,N,47,5,22,M,1,2,R,,,,22,0
24898279,85700128,1,16-18055-1,2016-07-14 00:00:00,2,N,51,5,40,M,1,2,R,,,,40,0
24898281,85700128,2,16-18055-2,2016-07-14 00:00:00,2,N,27,5,51,F,1,2,R,,,,51,0
24897435,85700097,1,16-17815-1,2016-07-11 00:00:00,1,N,5,5,55,M,1,2,R,,,,55,0
24897431,85699237,1,16-17183-1,2016-07-04 00:00:00,1,N,51,5,53,M,1,2,R,,,,53,0
24898287,85700149,2,16-19772-2,2016-07-31 00:00:00,1,N,51,5,51,F,1,2,R,,,,51,0
24898284,85700149,1,16-19772-1,2016-07-31 00:00:00,1,N,51,5,57,M,1,2,R,,,,57,0
25167949,86544173,1,16-18639-1,2016-08-23 00:00:00,3,N,16,5,37,M,1,2,R,,,,37,0
25167444,86544131,1,16-18106-1,2016-08-19 00:00:00,3,N,23,5,24,F,1,2,N,,,,24,0
26049999,89351491,1,16-17068-1,2016-12-16 00:00:00,3,N,39,5,27,M,2,2,N,,,,27,0
27100647,92514671,1,16-18991-1,2017-04-12 00:00:00,3,N,5,5,24,F,1,2,R,,,,24,0
25167965,86545278,1,16-22403-1,2016-08-26 00:00:00,1,N,51,5,18,M,1,2,R,,,,18,0
25167960,86545255,1,7644218,2016-09-15 00:00:00,3,N,47,5,53,F,1,2,N,,,,53,0
25167463,86544201,1,7644215,2016-09-11 00:00:00,3,N,5,5,33,F,1,1,R,,,,33,0
25167966,86544269,1,16-22767-1,2016-09-13 00:00:00,3,N,47,5,35,M,1,2,N,,,,35,0
25478488,87514671,1,16-24137-1,2016-11-03 00:00:00,3,N,11,5,27,F,1,2,R,,,,27,0
25167497,86544338,1,16-24462-1,2016-09-16 00:00:00,1,N,51,5,49,M,1,2,R,,,,49,0
26049247,89350341,1,16-25207-1,2016-09-24 00:00:00,1,N,51,5,46,F,1,2,R,,,,46,0
26524584,90770795,1,16-25593-1,2017-02-02 00:00:00,3,N,11,5,26,F,1,2,N,,,,26,0
26524576,90771619,1,7644252,2016-10-24 00:00:00,3,N,5,5,34,F,1,2,U,,,,34,0
25478519,87514740,1,16-26520-1,2016-10-08 00:00:00,1,N,51,5,25,M,1,2,R,,,,25,0
25478563,87514856,1,16-28703-1,2016-10-29 00:00:00,1,N,16,5,25,M,1,2,N,,,,25,0
26049331,89350476,1,16-29446-1,2016-11-06 00:00:00,1,N,51,5,55,F,1,2,R,,,,55,0
26049371,89351345,1,16-30594,2016-11-18 00:00:00,1,N,27,5,30,M,2,2,R,,,,30,0
26049969,89351396,1,16-31698-1,2016-11-28 00:00:00,3,N,44,5,43,M,1,2,N,,,,43,0
26049912,89351162,1,16-28927-1,2016-11-01 00:00:00,3,N,5,5,20,M,1,1,N,,,,20,0
26049938,89351280,1,16-29649-1,2017-01-09 00:00:00,3,N,27,5,42,M,1,2,N,,,,42,0
26049945,89351297,3,16-30303-3,2016-11-15 00:00:00,2,N,16,5,16,M,1,2,R,R,,,16,0
26049942,89351297,1,16-30303-1,2016-11-15 00:00:00,2,N,16,5,17,M,1,2,R,R,,,17,0
26049943,89351297,2,16-30303-2,2016-11-15 00:00:00,2,N,16,5,16,M,1,2,R,R,,,16,0
