arrestee_id,incident_id,arrestee_seq_num,arrest_num,arrest_date,arrest_type_id,multiple_indicator,offense_type_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,ff_line_number,age_range_low_num,age_range_high_num
24267634,83890931,1,16-16-AR,2016-01-07 00:00:00,2,N,45,5,32,M,1,2,N,,,,32,0
24267635,83890934,1,16-14-AR,2016-01-04 00:00:00,1,N,10,5,41,M,1,2,R,,,,41,0
24267622,83890914,1,16-65-AR,2016-01-23 00:00:00,2,N,16,5,18,F,1,2,N,,,,18,0
24267406,83890914,2,16-64-AR,2016-01-23 00:00:00,2,N,16,5,21,M,1,2,N,,,,21,0
24267430,83890515,1,16-7-AR,2016-01-02 00:00:00,2,N,16,5,31,M,1,2,R,,,,31,0
24267415,83890496,1,16-31-AR,2016-01-12 00:00:00,3,N,35,5,42,M,1,2,N,,,,42,0
24267644,83891516,1,16-2-AR,2016-01-01 00:00:00,1,N,51,5,34,M,1,2,R,,,,34,0
24266610,83890894,1,16-93-AR,2016-01-30 00:00:00,1,N,51,5,54,F,1,2,R,,,,54,0
24267398,83890910,1,16-71-AR,2016-01-23 00:00:00,2,N,35,5,17,F,1,2,R,R,,,17,0
24266613,83890465,1,16-87-AR,2016-01-28 00:00:00,2,N,35,5,17,F,1,2,N,R,,,17,0
24267423,83890933,1,16-15-AR,2016-01-06 00:00:00,1,N,48,5,53,M,1,2,R,,,,53,0
24267392,83890469,1,16-86-AR,2016-01-28 00:00:00,2,N,35,5,16,M,1,2,R,R,,,16,0
24267391,83890900,1,16-88-AR,2016-01-29 00:00:00,2,N,48,5,21,M,1,2,N,,,,21,0
24267403,83890912,1,16-60-AR,2016-01-22 00:00:00,2,N,51,5,49,F,1,2,N,,,,49,0
24266606,83890892,1,16-97-AR,2016-01-31 00:00:00,1,N,51,5,33,F,1,2,R,,,,33,0
24266572,83890813,1,16-45-AR,2016-01-18 00:00:00,1,N,51,5,44,F,1,2,R,,,,44,0
24267400,83890482,2,16-66-AR,2016-01-23 00:00:00,2,N,35,5,19,M,1,2,R,,,,19,0
24267399,83890482,1,16-67-AR,2016-01-23 00:00:00,2,N,35,5,18,F,1,2,R,,,,18,0
24267421,83890504,1,16-19-AR,2016-01-08 00:00:00,1,N,48,5,20,F,2,3,R,,,,20,0
24266609,83890462,1,16-94-AR,2016-01-30 00:00:00,2,N,16,5,19,M,2,2,N,,,,19,0
24267418,83890501,1,16-22-AR,2016-01-10 00:00:00,1,N,10,5,19,M,1,2,N,,,,19,0
24395480,84265238,1,16-166-AR,2016-02-23 00:00:00,2,N,11,5,45,M,1,2,N,,,,45,0
24267396,83890907,1,16-77-AR,2016-01-25 00:00:00,2,N,11,5,17,F,1,2,N,R,,,17,0
24267617,83890904,1,16-81-AR,2016-01-26 00:00:00,2,N,35,5,21,M,1,2,N,,,,21,0
24267627,83890494,1,16-43-AR,2016-01-17 00:00:00,3,N,48,5,26,F,1,2,N,,,,26,0
24267334,83890806,1,16-34-AR,2016-01-13 00:00:00,2,N,34,5,66,M,1,2,R,,,,66,0
24267629,83890923,1,16-40-AR,2016-01-16 00:00:00,1,N,51,5,24,F,1,2,N,,,,24,0
24534497,84664597,1,16-263-AR,2016-03-09 00:00:00,2,N,44,5,57,F,1,2,N,,,,57,0
24396634,84265456,1,16-179-AR,2016-02-27 00:00:00,1,N,10,5,44,F,1,2,R,,,,44,0
24396685,84266519,1,16-119-AR,2016-02-07 00:00:00,1,N,5,5,19,F,1,2,R,,,,19,0
24396630,84264464,1,16-182-AR,2016-02-28 00:00:00,2,N,51,5,51,F,1,2,N,,,,51,0
24395565,84264467,1,16-176-AR,2016-02-26 00:00:00,2,N,16,5,31,M,0,3,R,,,,31,0
