,year,month,state,sex_code
242,2015,5,NH,M
243,2015,5,NH,M
244,2015,5,NH,M
245,2015,5,NH,M
246,2015,5,NH,M
247,2015,5,NH,M
248,2015,5,NH,M
249,2015,5,NH,M
250,2015,5,NH,M
251,2015,5,NH,M
252,2015,5,NH,M
253,2015,5,NH,M
254,2015,5,NH,M
255,2015,5,NH,M
256,2015,5,NH,M
257,2015,5,NH,M
258,2015,5,NH,M
259,2015,5,NH,M
448,2015,5,NH,F
449,2015,5,NH,F
450,2015,5,NH,F
451,2015,5,NH,F
452,2015,5,NH,F
453,2015,5,NH,F
454,2015,5,NH,F
762,2015,1,NH,F
763,2015,1,NH,F
764,2015,1,NH,F
765,2015,1,NH,F
766,2015,1,NH,F
767,2015,1,NH,F
768,2015,1,NH,F
769,2015,1,NH,F
770,2015,1,NH,F
1153,2015,3,NH,M
1154,2015,3,NH,M
1155,2015,3,NH,M
1156,2015,3,NH,M
1157,2015,3,NH,M
1158,2015,3,NH,M
1159,2015,3,NH,M
1160,2015,3,NH,M
1161,2015,3,NH,M
1162,2015,3,NH,M
1163,2015,3,NH,M
1164,2015,3,NH,M
1165,2015,3,NH,M
1166,2015,3,NH,M
1167,2015,3,NH,M
1494,2015,6,NH,M
1495,2015,6,NH,M
1496,2015,6,NH,M
1497,2015,6,NH,M
1498,2015,6,NH,M
1499,2015,6,NH,M
1500,2015,6,NH,M
1501,2015,6,NH,M
1502,2015,6,NH,M
1503,2015,6,NH,M
1504,2015,6,NH,M
1505,2015,6,NH,M
1506,2015,6,NH,M
1507,2015,6,NH,M
1508,2015,6,NH,M
1509,2015,6,NH,M
1510,2015,6,NH,M
1511,2015,6,NH,M
1512,2015,6,NH,M
1513,2015,6,NH,M
1514,2015,6,NH,M
2202,2015,8,NH,M
2203,2015,8,NH,M
2204,2015,8,NH,M
2205,2015,8,NH,M
2206,2015,8,NH,M
2207,2015,8,NH,M
2208,2015,8,NH,M
2209,2015,8,NH,M
2210,2015,8,NH,M
2211,2015,8,NH,M
2212,2015,8,NH,M
2213,2015,8,NH,M
2214,2015,8,NH,M
2493,2015,12,NH,F
2494,2015,12,NH,F
2495,2015,12,NH,F
2496,2015,12,NH,F
2497,2015,12,NH,F
2498,2015,12,NH,F
2523,2015,12,NH,M
2524,2015,12,NH,M
2525,2015,12,NH,M
2526,2015,12,NH,M
2527,2015,12,NH,M
2528,2015,12,NH,M
2529,2015,12,NH,M
2530,2015,12,NH,M
2720,2015,9,NH,M
2721,2015,9,NH,M
2722,2015,9,NH,M
2723,2015,9,NH,M
2724,2015,9,NH,M
2725,2015,9,NH,M
2726,2015,9,NH,M
2727,2015,9,NH,M
2728,2015,9,NH,M
2729,2015,9,NH,M
2730,2015,9,NH,M
2731,2015,9,NH,M
2732,2015,9,NH,M
2733,2015,9,NH,M
2734,2015,9,NH,M
3071,2015,11,NH,M
3072,2015,11,NH,M
3073,2015,11,NH,M
3074,2015,11,NH,M
3075,2015,11,NH,M
3076,2015,11,NH,M
3077,2015,11,NH,M
3078,2015,11,NH,M
3079,2015,11,NH,M
3080,2015,11,NH,M
3081,2015,11,NH,M
3665,2015,2,NH,M
