sex_code,year,month,state
M,2015,9,MA
M,2015,9,MA
M,2015,6,MA
M,2015,10,MA
M,2015,4,MA
F,2015,10,MA
F,2015,11,MA
M,2015,11,MA
M,2016,3,MA
M,2016,10,MA
M,2016,6,MA
M,2016,4,MA
M,2016,4,MA
M,2016,12,MA
M,2017,10,MA
F,2017,7,MA
F,2017,10,MA
M,2017,7,MA
M,2017,9,MA
F,2017,6,MA
M,2017,7,MA
M,2017,3,MA
F,2017,3,MA
M,2017,1,MA
M,2017,5,MA
M,2018,9,MA
M,2018,11,MA
F,2018,11,MA
M,2018,4,MA
F,2018,5,MA
M,2018,7,MA
M,2018,5,MA
M,2018,11,MA
M,2018,11,MA
F,2018,12,MA
M,2018,9,MA
M,2018,5,MA
M,2018,10,MA
M,2018,7,MA
M,2018,9,MA
M,2018,7,MA
M,2018,7,MA
M,2018,9,MA
M,2019,1,MA
M,2019,7,MA
M,2019,7,MA
F,2019,7,MA
M,2019,1,MA
F,2019,12,MA
M,2019,12,MA
M,2019,6,MA
M,2019,6,MA
M,2019,2,MA
F,2019,3,MA
