arrestee_id,incident_id,arrestee_seq_num,arrest_num,arrest_date,arrest_type_id,multiple_indicator,offense_type_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,ff_line_number,age_range_low_num,age_range_high_num
24432598,84363652,1,16-1-AR,2016-01-01 00:00:00,2,N,16,5,20,M,1,2,N,,,,20,0
24432602,84363657,1,16-6-AR,2016-01-10 00:00:00,3,N,16,5,25,M,2,2,R,,,,25,0
24433106,84363659,1,16-2-AR,2016-01-02 00:00:00,2,N,16,5,19,F,1,2,N,,,,19,0
24432584,84363137,1,16-9-AR,2016-01-16 00:00:00,1,N,16,5,25,M,1,2,N,,,,25,0
24433098,84363644,1,16-3-AR,2016-01-02 00:00:00,2,N,16,5,32,M,1,2,N,,,,32,0
24433088,84363144,1,16-8-AR,2016-01-16 00:00:00,1,N,16,5,20,M,1,2,N,,,,20,0
24433146,84363228,1,16-24-AR,2016-02-17 00:00:00,2,N,16,5,38,M,1,2,N,,,,38,0
24433629,84363228,2,16-25-AR,2016-02-17 00:00:00,2,N,16,5,35,F,1,2,N,,,,35,0
24433128,84363211,1,16-28-AR,2016-02-26 00:00:00,2,N,16,5,35,M,1,2,N,,,,35,0
24433111,84363182,2,16-21-AR,2016-02-15 00:00:00,3,N,16,5,21,F,1,2,N,,,,21,0
24432608,84363182,3,16-22-AR,2016-02-15 00:00:00,3,N,52,5,26,M,1,2,N,,,,26,0
24433110,84363182,1,16-20-AR,2016-02-15 00:00:00,3,N,16,5,26,M,1,2,N,,,,26,0
24433126,84363204,1,16-29-AR,2016-02-28 00:00:00,2,N,16,5,20,F,1,2,N,,,,20,0
24433147,84363233,1,16-23-AR,2016-02-16 00:00:00,2,N,16,5,28,M,1,2,N,,,,28,0
24433153,84363760,1,16-18-AR,2016-02-09 00:00:00,2,N,16,5,30,M,1,2,R,,,,30,0
24433129,84363704,1,16-26-AR,2016-02-21 00:00:00,2,N,16,5,62,M,1,2,N,,,,62,0
24433655,84363300,1,16-34-AR,2016-03-13 00:00:00,3,N,16,5,20,M,1,2,N,,,,20,0
24433666,84363342,1,16-31-AR,2016-03-07 00:00:00,1,N,16,5,22,M,1,2,N,,,,22,0
24433191,84363842,1,16-35-AR,2016-03-16 00:00:00,2,N,16,5,28,F,1,2,N,,,,28,0
24433163,84363784,1,16-38-AR,2016-03-29 00:00:00,3,N,16,5,29,M,1,2,N,,,,29,0
24561337,84725860,1,16-39-AR,2016-04-07 00:00:00,3,N,44,5,27,M,1,2,N,,,,27,0
24562244,84726744,1,16-44-AR,2016-04-15 00:00:00,2,N,16,5,24,M,1,2,N,,,,24,0
24561344,84726751,1,16-46-AR,2016-04-16 00:00:00,1,N,16,5,24,F,1,2,N,,,,24,0
24561338,84726740,1,16-48-AR,2016-04-22 00:00:00,2,N,16,5,33,M,1,2,N,,,,33,0
24562255,84725892,1,16-43-AR,2016-04-13 00:00:00,2,N,16,5,39,M,1,2,N,,,,39,0
24562298,84725965,1,16-51-AR,2016-05-04 00:00:00,2,N,16,5,33,M,1,2,N,,,,33,0
24562263,84726784,1,16-62-AR,2016-05-31 00:00:00,2,N,16,5,66,M,1,2,N,,,,66,0
24562276,84726807,1,16-63-AR,2016-05-22 00:00:00,2,N,16,5,61,M,1,2,U,,,,61,0
24562265,84726790,1,16-61-AR,2016-05-30 00:00:00,2,N,16,5,22,F,1,2,N,,,,22,0
24562270,84726806,1,16-57-AR,2016-05-20 00:00:00,2,N,16,5,38,M,1,2,N,,,,38,0
24562274,84725915,1,16-59-AR,2016-05-29 00:00:00,3,N,52,5,16,M,3,3,U,H,,,16,0
24562279,84725915,2,16-60-AR,2016-05-29 00:00:00,3,N,16,5,17,M,1,2,N,H,,,17,0
24561382,84725943,1,16-54-AR,2016-05-13 00:00:00,2,N,16,5,25,M,1,2,N,,,,25,0
24561389,84726853,1,16-53-AR,2016-05-07 00:00:00,2,N,16,5,28,M,1,2,N,,,,28,0
24561390,84726855,1,16-52-AR,2016-05-06 00:00:00,2,N,16,5,23,M,1,2,N,,,,23,0
24562286,84726828,1,16-55-AR,2016-05-15 00:00:00,2,N,16,5,37,M,1,2,N,,,,37,0
24561378,84725932,1,16-56-AR,2016-05-18 00:00:00,2,N,16,5,21,M,1,2,N,,,,21,0
24562272,84725913,1,16-58-AR,2016-05-28 00:00:00,2,N,16,5,27,M,1,2,N,,,,27,0
24562300,84726877,1,16-79-AR,2016-06-30 00:00:00,2,N,16,5,21,M,1,2,N,,,,21,0
24561427,84726944,1,16-64-AR,2016-06-02 00:00:00,1,N,16,5,19,M,1,3,R,,,,19,0
24561399,84725981,1,16-78-AR,2016-06-28 00:00:00,1,N,16,5,35,M,1,2,R,,,,35,0
24562309,84726905,1,16-77-AR,2016-06-27 00:00:00,2,N,16,5,28,M,1,2,N,,,,28,0
24562312,84725991,1,16-74-AR,2016-06-24 00:00:00,2,N,16,5,23,M,1,2,N,,,,23,0
24561413,84726916,1,16-73-AR,2016-06-24 00:00:00,2,N,16,5,40,M,1,2,N,,,,40,0
24562318,84726920,1,16-72-AR,2016-06-20 00:00:00,1,N,16,5,46,M,1,2,N,,,,46,0
24562315,84726913,1,16-75-AR,2016-06-25 00:00:00,1,N,16,5,42,F,1,3,N,,,,42,0
24561424,84726023,2,16-68-AR,2016-06-09 00:00:00,2,N,16,5,23,M,1,2,U,,,,23,0
24561423,84726023,1,16-67-AR,2016-06-09 00:00:00,2,N,16,5,22,M,1,2,R,,,,22,0
25830123,88673290,1,16-83-AR,2016-07-14 00:00:00,1,N,16,5,24,M,1,3,U,,,,24,0
25830140,88673327,1,16-81-AR,2016-07-03 00:00:00,2,N,16,5,18,F,1,2,N,,,,18,0
25830138,88674468,1,16-82-AR,2016-07-04 00:00:00,2,N,16,5,23,M,1,2,N,,,,23,0
25830125,88674424,1,16-112-AR,2016-08-22 00:00:00,3,N,51,5,21,M,1,2,R,,,,21,0
25830128,88674429,3,16-95-AR,2016-07-30 00:00:00,1,N,16,5,21,M,1,2,N,,,,21,0
25830127,88674429,2,16-94-AR,2016-07-30 00:00:00,2,N,16,5,23,M,1,2,N,,,,23,0
25830126,88674429,1,16-93-AR,2016-07-30 00:00:00,2,N,16,5,22,M,1,2,N,,,,22,0
25830884,88674423,1,16-89-AR,2016-07-21 00:00:00,2,N,16,5,62,F,1,2,N,,,,62,0
25830885,88674423,2,16-90-AR,2016-07-21 00:00:00,2,N,52,5,48,F,1,2,N,,,,48,0
25830124,88674423,3,16-91-AR,2016-07-21 00:00:00,2,N,16,5,51,M,1,2,N,,,,51,0
25830898,88673336,1,16-80-AR,2016-07-01 00:00:00,1,N,16,5,35,M,2,3,U,,,,35,0
26059517,89381103,1,16-135-AR,2016-09-22 00:00:00,3,N,47,5,21,M,1,2,R,,,,21,0
25830142,88674472,1,16-114-AR,2016-08-25 00:00:00,3,N,48,5,25,M,1,2,N,,,,25,0
25830897,88674472,2,16-122-AR,2016-08-31 00:00:00,3,N,16,5,26,M,1,2,N,,,,26,0
25830184,88673413,1,16-110-AR,2016-08-21 00:00:00,2,N,16,5,22,F,1,3,N,,,,22,0
25830937,88673394,1,16-109-AR,2016-08-20 00:00:00,2,N,16,5,45,F,1,2,N,,,,45,0
25830206,88673441,2,16-98-AR,2016-08-03 00:00:00,2,N,16,5,30,M,1,2,U,,,,30,0
25830969,88673441,3,16-99-AR,2016-08-03 00:00:00,2,N,16,5,20,M,1,2,N,,,,20,0
25830205,88673441,1,16-97-AR,2016-08-03 00:00:00,2,N,16,5,29,F,1,2,N,,,,29,0
25830190,88673421,1,16-105-AR,2016-08-09 00:00:00,2,N,16,5,52,M,1,2,N,,,,52,0
25830200,88673426,2,16-102-AR,2016-08-06 00:00:00,2,N,16,5,27,F,1,2,N,,,,27,0
25830956,88673426,1,16-101-AR,2016-08-06 00:00:00,2,N,16,5,26,M,1,2,N,,,,26,0
25830207,88673437,1,16-96-AR,2016-08-01 00:00:00,2,N,16,5,26,M,1,2,U,,,,26,0
25830914,88673369,1,16-116-AR,2016-08-26 00:00:00,1,N,16,5,52,M,1,2,N,,,,52,0
25830930,88674545,1,16-115-AR,2016-08-26 00:00:00,2,N,16,5,26,M,1,2,N,,,,26,0
25830951,88674571,1,16-108-AR,2016-08-20 00:00:00,2,N,16,5,49,F,1,2,N,,,,49,0
25830940,88673399,1,16-111-AR,2016-08-20 00:00:00,2,N,16,5,48,M,1,2,N,,,,48,0
