,year,month,state,sex_code
21806,2015,9,NH,F
21807,2015,9,NH,F
22036,2015,9,NH,M
22037,2015,9,NH,M
22038,2015,9,NH,M
22039,2015,9,NH,M
22040,2015,9,NH,M
22041,2015,9,NH,M
22042,2015,9,NH,M
22043,2015,9,NH,M
22044,2015,9,NH,M
22045,2015,9,NH,M
22052,2015,12,NH,M
22053,2015,12,NH,M
22054,2015,12,NH,M
22055,2015,12,NH,M
22056,2015,12,NH,M
22057,2015,12,NH,M
22058,2015,12,NH,M
22059,2015,12,NH,M
22118,2015,5,NH,M
22119,2015,5,NH,M
22120,2015,5,NH,M
22121,2015,5,NH,M
22122,2015,5,NH,M
22123,2015,5,NH,M
22124,2015,5,NH,M
22130,2015,5,NH,F
22131,2015,5,NH,F
22132,2015,5,NH,F
22137,2015,3,NH,M
22138,2015,3,NH,M
22139,2015,3,NH,M
22140,2015,3,NH,M
22141,2015,3,NH,M
22142,2015,3,NH,M
22143,2015,3,NH,M
22144,2015,3,NH,M
22145,2015,3,NH,M
22146,2015,3,NH,M
22147,2015,3,NH,M
22148,2015,3,NH,M
22149,2015,3,NH,M
22150,2015,3,NH,M
22171,2015,3,NH,F
22179,2015,11,NH,M
22180,2015,11,NH,M
22181,2015,11,NH,M
22182,2015,11,NH,M
22183,2015,11,NH,M
22184,2015,11,NH,M
22185,2015,11,NH,M
22186,2015,11,NH,F
22187,2015,11,NH,F
22188,2015,11,NH,F
22189,2015,11,NH,F
22190,2015,11,NH,F
22240,2015,8,NH,F
22241,2015,8,NH,F
22242,2015,8,NH,M
22243,2015,8,NH,M
22244,2015,8,NH,M
22245,2015,8,NH,M
22246,2015,8,NH,M
22247,2015,8,NH,M
22248,2015,8,NH,M
22249,2015,8,NH,M
22250,2015,8,NH,M
22251,2015,8,NH,M
22252,2015,8,NH,M
22253,2015,8,NH,M
22254,2015,8,NH,M
22412,2015,2,NH,F
22413,2015,2,NH,F
22414,2015,2,NH,F
22415,2015,2,NH,F
22416,2015,2,NH,F
22417,2015,2,NH,F
22418,2015,2,NH,F
22419,2015,2,NH,F
22420,2015,2,NH,F
22421,2015,2,NH,M
22422,2015,2,NH,M
22423,2015,2,NH,M
22424,2015,2,NH,M
22425,2015,2,NH,M
22426,2015,2,NH,M
22427,2015,2,NH,M
22428,2015,2,NH,M
22538,2015,10,NH,M
22539,2015,10,NH,M
22540,2015,10,NH,M
22541,2015,10,NH,M
22542,2015,10,NH,M
22543,2015,10,NH,M
22544,2015,10,NH,M
22545,2015,10,NH,M
22546,2015,10,NH,M
22547,2015,10,NH,M
22548,2015,10,NH,F
22549,2015,10,NH,F
22550,2015,10,NH,F
22551,2015,10,NH,F
22559,2015,4,NH,M
22560,2015,4,NH,M
22561,2015,4,NH,M
22562,2015,4,NH,M
22563,2015,4,NH,M
22564,2015,4,NH,M
22565,2015,4,NH,M
22566,2015,4,NH,M
22567,2015,4,NH,M
22568,2015,4,NH,M
22569,2015,4,NH,M
22587,2015,4,NH,F
22588,2015,4,NH,F
22589,2015,4,NH,F
22590,2015,4,NH,F
22591,2015,4,NH,F
22609,2015,1,NH,M
22610,2015,1,NH,M
22611,2015,1,NH,M
22612,2015,1,NH,M
22613,2015,1,NH,M
22614,2015,1,NH,M
22615,2015,1,NH,M
22616,2015,1,NH,M
22617,2015,1,NH,M
22618,2015,1,NH,F
22676,2015,6,NH,M
22677,2015,6,NH,M
22678,2015,6,NH,M
22679,2015,6,NH,M
22680,2015,6,NH,M
22681,2015,6,NH,M
22682,2015,6,NH,M
22683,2015,6,NH,M
22684,2015,6,NH,M
22685,2015,6,NH,F
22686,2015,6,NH,F
22687,2015,6,NH,F
22688,2015,12,NH,F
22689,2015,12,NH,F
22690,2015,12,NH,F
22691,2015,12,NH,F
22692,2015,7,NH,F
22693,2015,7,NH,F
22694,2015,7,NH,F
22695,2015,7,NH,F
22696,2015,7,NH,M
22697,2015,7,NH,M
22698,2015,7,NH,M
22699,2015,7,NH,M
22700,2015,7,NH,M
22701,2015,7,NH,M
44531,2016,3,NH,M
44532,2016,3,NH,M
44533,2016,3,NH,M
44534,2016,3,NH,M
44535,2016,3,NH,M
44536,2016,3,NH,M
44537,2016,3,NH,M
44538,2016,3,NH,M
44539,2016,3,NH,M
44540,2016,3,NH,M
44541,2016,3,NH,M
44542,2016,3,NH,M
44543,2016,3,NH,M
44544,2016,3,NH,M
44545,2016,3,NH,M
44546,2016,3,NH,M
44547,2016,3,NH,M
44548,2016,3,NH,M
44549,2016,3,NH,M
44550,2016,3,NH,M
44551,2016,3,NH,M
44750,2016,1,NH,M
44751,2016,1,NH,M
44752,2016,1,NH,M
44753,2016,1,NH,M
44754,2016,1,NH,M
44755,2016,1,NH,M
44756,2016,1,NH,M
44757,2016,1,NH,M
44758,2016,1,NH,M
44759,2016,1,NH,M
44764,2016,4,NH,M
44765,2016,4,NH,M
44766,2016,4,NH,M
44767,2016,4,NH,M
44768,2016,4,NH,M
44769,2016,4,NH,M
44770,2016,4,NH,M
44771,2016,4,NH,M
44772,2016,4,NH,M
44773,2016,4,NH,M
44774,2016,4,NH,M
44775,2016,4,NH,M
44776,2016,4,NH,M
44789,2016,5,NH,F
44790,2016,5,NH,F
44791,2016,5,NH,F
44792,2016,5,NH,F
44793,2016,5,NH,F
44794,2016,5,NH,F
44795,2016,5,NH,F
44845,2016,6,NH,M
44846,2016,6,NH,M
44847,2016,6,NH,M
44848,2016,6,NH,M
44849,2016,6,NH,M
44850,2016,6,NH,M
44851,2016,6,NH,M
44852,2016,6,NH,M
44853,2016,6,NH,M
44854,2016,6,NH,M
44926,2016,11,NH,F
44927,2016,11,NH,F
44928,2016,11,NH,F
44929,2016,12,NH,M
44930,2016,12,NH,M
