arrestee_id,incident_id,arrestee_seq_num,arrest_num,arrest_date,arrest_type_id,multiple_indicator,offense_type_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,ff_line_number,age_range_low_num,age_range_high_num
23920142,82926170,1,16-5-AR,2016-01-05 00:00:00,2,N,39,5,16,M,1,2,R,R,,,16,0
23997661,83121072,2,16-19-AR,2016-01-30 00:00:00,3,N,23,5,37,F,1,2,N,,,,37,0
23997660,83121072,1,16-20-AR,2016-01-30 00:00:00,3,N,48,5,28,F,1,2,N,,,,28,0
23921163,82926214,1,16-7-AR,2016-01-08 00:00:00,3,N,51,5,17,M,1,2,R,R,,,17,0
23921133,82926135,1,16-15-AR,2016-01-26 00:00:00,2,N,16,5,28,M,2,2,N,,,,28,0
23920156,82926683,1,16-8-AR,2016-01-10 00:00:00,3,N,51,5,47,M,1,2,R,,,,47,0
23997643,83121041,1,16-24-AR,2016-02-15 00:00:00,3,N,51,5,30,F,1,2,R,,,,30,0
23997079,83121102,1,16-50-AR,2016-03-31 00:00:00,2,N,48,5,25,M,2,2,N,,,,25,0
23997074,83121095,1,16-47-AR,2016-03-25 00:00:00,3,N,51,5,47,M,1,2,R,,,,47,0
23997684,83121556,1,16-37-AR,2016-03-13 00:00:00,2,N,16,5,17,M,1,2,N,R,,,17,0
24215287,83734305,1,16-91-AR,2016-05-22 00:00:00,3,N,51,5,27,M,2,2,N,,,,27,0
23997838,83121417,1,16-58-AR,2016-04-05 00:00:00,3,N,51,5,43,M,1,2,R,,,,43,0
23997762,83121750,1,16-57-AR,2016-04-14 00:00:00,3,N,51,5,29,M,1,2,N,,,,29,0
23997237,83121393,1,16-60-AR,2016-04-08 00:00:00,3,N,48,5,26,M,1,2,N,,,,26,0
23997299,83121511,1,16-52-AR,2016-04-01 00:00:00,3,N,28,5,16,M,2,2,N,R,,,16,0
23997302,83121511,2,16-51-AR,2016-04-01 00:00:00,3,N,28,5,16,M,1,1,N,R,,,16,0
24215674,83733188,1,16-99-AR,2016-06-03 00:00:00,2,N,47,5,22,F,1,2,N,,,,22,0
24215861,83735672,1,16-67-AR,2016-04-17 00:00:00,2,N,51,5,71,M,1,2,R,,,,71,0
23997722,83121206,1,16-76-AR,2016-04-25 00:00:00,3,N,48,5,21,M,1,1,N,,,,21,0
23997733,83121227,1,16-73-AR,2016-04-23 00:00:00,3,N,16,5,22,M,2,2,N,,,,22,0
24215435,83735762,1,16-132-AR,2016-07-13 00:00:00,3,N,37,5,40,M,1,2,N,,,,40,0
24215099,83733646,1,16-90-AR,2016-05-14 00:00:00,3,N,51,5,39,M,1,2,R,,,,39,0
