arrestee_id,incident_id,arrestee_seq_num,arrest_num,arrest_date,arrest_type_id,multiple_indicator,offense_type_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,ff_line_number,age_range_low_num,age_range_high_num
25613486,87964416,1,711077,2015-12-10 00:00:00,2,C,41,5,25,F,1,2,R,,,,25,0
25307552,87008492,1,383047,2015-01-31 00:00:00,1,N,27,5,14,M,1,2,R,R,,,14,0
25308524,87008485,1,383081,2015-01-26 00:00:00,2,N,2,5,43,M,1,2,N,,,,43,0
25699923,88241072,1,394160,2016-02-03 00:00:00,1,N,23,5,21,F,1,2,N,,,,21,0
23975254,83070254,1,387967,2015-07-09 00:00:00,2,N,16,5,26,F,1,2,N,,,,26,0
24399913,84273393,1,392697,2015-12-11 00:00:00,1,N,16,5,17,M,2,2,R,R,,,17,0
24399497,84273408,2,392919,2015-12-06 00:00:00,2,N,23,5,23,M,1,2,N,,,,23,0
24399496,84273408,1,392913,2015-12-06 00:00:00,2,N,23,5,22,F,1,2,N,,,,22,0
23975264,83070264,1,391704,2015-11-07 00:00:00,2,N,45,5,54,F,1,2,R,,,,54,0
25699906,88239935,2,394146,2016-02-05 00:00:00,3,N,28,5,31,M,4,2,R,,,,31,0
25699905,88239935,1,392895,2015-12-18 00:00:00,3,N,45,5,33,F,1,2,R,,,,33,0
25699939,88240009,1,393604,2016-01-15 00:00:00,2,N,2,5,36,M,1,2,N,,,,36,0
25699954,88241148,1,398279,2016-07-14 00:00:00,2,N,51,5,15,F,1,2,N,H,,,15,0
23975265,83069403,1,391701,2015-11-04 00:00:00,2,N,23,5,27,F,1,2,N,,,,27,0
23975266,83069405,1,391380,2015-10-17 00:00:00,2,N,23,5,43,F,1,2,N,,,,43,0
25700811,88241027,1,395561,2016-03-25 00:00:00,2,N,2,5,43,F,1,2,N,,,,43,0
23975271,83069427,1,390673,2015-10-02 00:00:00,2,N,23,5,36,M,2,3,N,,,,36,0
23975253,83069370,1,391379,2015-10-26 00:00:00,2,N,37,5,22,F,1,2,N,,,,22,0
23975272,83069426,1,391254,2015-10-22 00:00:00,1,N,51,5,32,M,2,3,N,,,,32,0
23975262,83069396,1,391464,2015-10-28 00:00:00,2,N,45,5,28,F,1,2,N,,,,28,0
24399912,84273720,1,392481,2015-12-03 00:00:00,2,N,2,5,58,M,1,2,N,,,,58,0
23975251,83069365,1,389020,2015-08-13 00:00:00,3,N,2,5,23,M,2,,R,,,,23,0
25700805,88239904,1,396622,2016-03-07 00:00:00,2,N,23,5,37,F,1,2,N,,,,37,0
24399502,84273421,1,393350,2015-12-29 00:00:00,1,N,23,5,39,F,1,2,N,,,,39,0
24399921,84273729,1,392695,2015-12-08 00:00:00,2,N,23,5,27,F,1,2,N,,,,27,0
24399501,84273420,1,393376,2015-12-30 00:00:00,2,N,45,5,26,F,1,2,N,,,,26,0
24399925,84273738,2,393066,2015-12-26 00:00:00,1,N,48,5,29,M,1,2,N,,,,29,0
